Nombres Streamers,Current Active Subs,Subs Type Paid,Subs Type Prime,Subs Type Gifted,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99)
XQC,76821,20464,31597,2867,20208,87,169
KAICENAT,69028,47391,11653,25634,47360,27,4
CASIMITO,66914,15872,40483,1064,15855,8,9
HASANABI,54913,14110,13604,5080,13994,68,48
NICKMERCS,46609,20613,11312,5203,20150,309,154
AURONPLAY,46227,20044,19389,4016,19970,54,20
GAULES,45343,21716,22724,1954,21681,21,14
ELRAENN,41276,11370,23599,2649,11260,46,64
ELIASN97,39535,12990,20857,4706,12942,29,19
ADINROSS,35795,5982,17450,2094,5968,10,4
IBAI,35560,8219,14831,2136,8200,11,8
BRUCEDROPEMOFF,31529,19620,7934,6715,19589,22,9
ILLOJUAN,31077,12121,18956,794,12081,13,27
TRAINWRECKSTV,28703,16069,7905,5516,15668,41,360
SHIFT,27717,?,?,26092,?,53,312
RANBOOLIVE,26231,10817,6289,3008,10708,77,32
CELLBIT,25688,6513,15119,619,6492,17,4
ZERATOR,24317,11435,9531,3981,11284,68,83
SUMMIT1G,23789,8312,7030,2521,8050,168,94
YOURRAGEGAMING,23703,20260,3346,6621,20243,12,5
ELSPREEN,23213,10798,9165,3038,10665,79,54
TUMBLURR,22437,6425,12958,3951,6380,28,17
PAYMONEYWUBBY,21005,13689,5247,7884,13425,91,173
MIZKIF,20992,7645,7344,2895,7609,16,20
RUBIUS,20991,6808,10875,1703,6767,13,28
ALANZOKA,20725,4008,13404,1038,3957,24,27
CHOWH1,20492,13551,4943,8427,13410,71,70
NOWAY4U_SIR,18961,5010,11249,2302,4911,59,40
MOISTCR1TIKAL,18488,9756,6464,4618,9589,94,73
MOONMOON,18345,7286,8105,788,7039,86,161
CRITICALROLE,18304,7655,7814,476,7588,49,18
KAMET0,18187,6563,8677,616,6536,21,6
LOUD_CORINGA,18102,8715,6651,954,8708,4,3
TARIK,18086,6046,9416,2149,5994,21,31
AMINEMATUE,18018,8593,6850,1999,8584,6,3
ELMARIANA,17444,7720,7142,1294,7702,8,10
PHILZA,15958,13172,2779,2792,12978,143,51
FARFA,15948,?,?,12628,?,20,15
LIRIK,15371,5085,7968,1160,5042,25,18
LVNDMARK,14784,6079,6558,1660,5844,125,110
JLTOMY,14765,7169,5432,1236,7128,19,22
MONTANABLACK88,14736,5376,7118,1594,5344,21,11
ELXOKAS,14337,7279,6941,2310,7226,16,37
AMOURANTH,14113,9857,3315,8408,9800,18,39
JUANSGUARNIZO,14035,7223,4768,1187,7199,18,6
JBZZED,13300,6475,5265,4380,6422,25,28
DARIOMOCCIATWITCH,13256,2495,8740,845,2477,12,6
CAMY,13015,?,?,11671,?,11,10
ODABLOCK,12908,10996,1432,9840,10957,14,25
HYPE,12773,5951,5323,3278,5847,38,66
SINTICA,12730,12151,582,9803,11825,186,140
ABUGOKU9999,12707,9964,2037,8362,9941,13,10
ELOTRIX,12483,7669,3687,5387,7556,54,59
SARUEI,12483,11638,568,10710,11534,48,56
WTCN,12258,3589,6792,1026,3554,12,23
SHLOROX,12254,9286,2159,7444,9186,59,41
SAVYULTRAS90,12247,10090,1718,9469,10079,3,8
ZERKAA,12139,9427,2643,1258,9359,42,26
BOBBYPOFFGAMING,12117,?,?,9141,?,30,34
ANASTASIA_ROSE_OFFICIAL,12067,?,?,10059,?,48,62
GRONKH,11803,6399,4037,2932,6331,55,13
REPULLZE,11670,10802,402,8912,10711,48,43
FPS_SHAKA,11624,1948,5083,448,1932,6,10
GABEPEIXE,11604,6791,3184,1994,6784,4,3
JAHREIN,11143,4653,5055,2504,4591,14,48
BARBAROUSKING,11137,7525,2525,4636,7322,97,106
JCCAYLEN,11072,?,?,6182,?,11,8
KENDINEMUZISYEN,11051,3727,5796,1349,3695,15,17
ZOOMAA,10914,9058,1761,4176,9023,22,13
MYUN,10801,?,?,10439,?,52,274
CASTRO_1021,10796,4582,4676,1473,4545,19,18
TSM_IMPERIALHAL,10786,5333,3872,1211,5279,30,24
ALEXELCAPO,10775,1700,7230,213,1692,4,4
AVERAGEJONAS,10759,9437,1022,8825,9387,34,16
PENTA,10755,8182,1807,5989,8141,21,20
COHHCARNAGE,10702,6210,3275,3068,5761,405,44
LOLTYLER1,10639,2983,5984,563,2941,19,23
ADMIRALBAHROO,10607,5138,2793,1817,5062,36,40
PASCHY90,10594,?,?,10338,?,4,25
WIRTUAL,10556,6458,4099,3617,6398,29,31
BAOO,10337,?,?,7954,?,89,51
SHYLILY,10305,7295,1936,3893,6909,70,316
TEEPEE,10193,5791,3282,3358,5712,30,49
QUACKITY,10102,5785,2869,1124,5782,2,1
RATIRL,10079,5194,3716,2440,5038,64,92
IRONMOUSE,10015,6987,1909,3152,6856,65,66
PESTILY,9986,8392,1579,375,8202,97,93
FOLAGORLIVES,9828,4246,4357,2733,4239,4,3
VANESSA_LOPEZ_OFFICIAL,9480,?,?,8597,?,20,30
JAY3,9303,?,?,7206,?,34,187
PONCE,9259,4584,3257,631,4496,50,38
DOMINGO,9212,4042,3697,260,4024,15,3
KEEOH,9171,?,?,5720,?,19,17
ERAY,9126,2770,5075,1068,2758,6,6
RDCGAMING,9086,8337,522,7640,8337,0,0
BIGPUFFER,9045,?,?,4459,?,86,73
LOCKLEAR,8970,4443,3379,2169,4298,80,65
SODAPOPPIN,8933,3337,4235,644,3202,106,29
METASHI12,8857,6653,1647,5569,6565,48,40
MASTERTAY,8751,7616,818,6744,7545,21,50
KYR_SP33DY,8639,4529,2956,1783,4439,53,37
GERNADERJAKE,8555,6689,1341,5344,6450,91,148
YOCLESH,8525,?,?,7234,?,37,47
ALTAIR,8512,5782,2014,4145,5370,193,219
INSYM,8487,5661,2013,3558,5518,78,65
BRUCEGREENE,8455,7837,424,7072,7743,48,46
GLORIOUS_E,8451,?,?,3685,?,74,75
FORSEN,8438,3107,4013,423,3018,41,48
JASPER7SE,8409,2786,4362,717,2772,4,10
SHOTZ,8370,7062,905,5819,6990,22,50
COREANO,8312,2074,5006,766,2048,13,13
FANUM,8296,6700,840,3698,6691,5,4
BUDDHA,8236,4612,2512,1630,4553,36,23
MIXWELL,8224,2993,3959,536,2991,1,1
STYLISHNOOB4,8194,2503,4494,1061,2496,4,3
YODA,8193,1375,5490,315,1368,3,4
EWROON,8158,3707,3469,2334,3686,7,14
DOKTORFROID,8154,6370,1242,4692,6299,52,19
ANTOINEDANIEL,8115,3670,3287,801,3595,51,24
MOONRYDE,8091,?,?,1255,?,27,23
JERMA985,8046,3123,3793,700,3100,13,10
AUSSIEANTICS,8024,5024,2184,3070,4993,17,14
MANG0,8011,5209,1972,2845,5151,30,28
依渟,7997,7876,7,7142,7786,4,86
FL0M,7992,6035,1438,4767,5996,19,20
B0ATY,7906,2254,4441,499,2219,20,15
IWDOMINATE,7883,?,?,1534,?,17,6
CDAWGVA,7821,4088,2812,2433,4048,31,9
ANTHONYZ,7805,7140,663,3305,7077,37,26
FRTTT,7759,2332,4321,1048,2315,14,3
TECTONE,7749,6588,1060,2835,6468,45,75
CHILLEDCHAOS,7681,4818,1945,2286,4743,46,29
加藤純一です,7648,1705,4776,415,1701,2,2
MCH_AGG,7614,2704,3869,990,2700,3,1
ENVIOSITY,7605,5531,1612,4650,5499,19,13
BADDIE,7551,?,?,5164,?,98,69
TANZVERBOT,7512,4700,2203,3827,4685,6,9
MAXIMILIAN_DOOD,7493,4109,2345,1472,4035,53,21
AGRAELUS,7441,5624,860,1705,5568,34,22
FROSTPRIME_,7400,?,?,4556,?,47,42
