Nombre Streamer,Month Year,Total Subs,Subs Type Prime,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99),Subs Type Unlisted
AURONPLAY,September 2022,25928,10835,11317,31,14,3731
AURONPLAY,August 2022,50796,21472,21601,58,25,7640
AURONPLAY,July 2022,17099,7415,7073,21,12,2578
AURONPLAY,June 2022,39439,16536,17176,44,22,5661
AURONPLAY,May 2022,31377,13536,12829,41,19,4952
AURONPLAY,April 2022,38241,17232,14952,53,27,5977
AURONPLAY,March 2022,33396,14872,13482,48,25,4969
AURONPLAY,February 2022,28982,12565,11976,42,19,4380
AURONPLAY,January 2022,41660,17698,17793,61,41,6067
AURONPLAY,December 2021,23457,9478,10498,46,46,3389
AURONPLAY,November 2021,37331,13726,18616,58,45,4886
AURONPLAY,October 2021,37567,16159,17213,84,50,4061
AURONPLAY,September 2021,39472,15705,19864,85,47,3771
AURONPLAY,August 2021,40751,18680,17529,64,41,4437
AURONPLAY,July 2021,20598,9751,8730,48,37,2032
AURONPLAY,June 2021,27660,12120,12620,52,41,2827
AURONPLAY,May 2021,29254,13061,13441,150,44,2558
AURONPLAY,April 2021,30395,15180,12321,53,24,2817
AURONPLAY,March 2021,29261,13589,13018,77,39,2538
AURONPLAY,February 2021,23233,12381,8363,54,29,2406
AURONPLAY,January 2021,32033,18000,10696,55,33,3249
AURONPLAY,December 2020,22076,12695,6936,58,23,2364
AURONPLAY,November 2020,23625,12974,8004,215,20,2412
AURONPLAY,October 2020,20940,12088,6531,36,15,2270
AURONPLAY,September 2020,17768,11538,4324,28,10,1868
AURONPLAY,August 2020,16296,10603,3904,27,8,1754
AURONPLAY,July 2020,13844,9625,2654,15,4,1546
AURONPLAY,June 2020,14934,10743,3421,14,4,752
AURONPLAY,May 2020,18928,14176,3716,19,15,1002
AURONPLAY,April 2020,15239,11352,3005,14,12,856
AURONPLAY,March 2020,10022,7255,2269,20,6,472
AURONPLAY,February 2020,9961,7169,2340,16,6,430
AURONPLAY,January 2020,10285,8248,1485,16,12,524
AURONPLAY,December 2019,7749,6479,882,10,0,378
AURONPLAY,November 2019,4358,3212,975,4,0,167
XQC,September 2022,46406,19149,13059,58,55,14085
XQC,August 2022,79704,31232,19156,91,161,29064
XQC,July 2022,82051,34694,23544,112,87,23614
XQC,June 2022,84713,34231,23081,122,88,27191
XQC,May 2022,94120,38263,25592,130,103,30032
XQC,April 2022,98230,44842,27471,153,117,25647
XQC,March 2022,84412,36654,25448,157,107,22046
XQC,February 2022,83719,33032,23789,142,88,26668
XQC,January 2022,88296,38059,26956,157,107,23017
XQC,December 2021,95699,43471,30383,191,150,21504
XQC,November 2021,84012,37007,26034,304,153,20514
XQC,October 2021,78294,32701,22934,92,93,22474
XQC,September 2021,71375,28251,21907,112,80,21025
XQC,August 2021,79207,36162,24122,138,82,18703
XQC,July 2021,63108,27617,17976,123,116,17276
XQC,June 2021,76898,34596,24124,137,112,17929
XQC,May 2021,80674,39348,22629,164,107,18426
XQC,April 2021,76046,39726,25280,165,140,10735
XQC,March 2021,67546,35450,22950,151,125,8870
XQC,February 2021,55512,28468,16883,134,85,9942
XQC,January 2021,58683,33906,17292,138,103,7244
XQC,December 2020,63372,34691,20533,146,103,7899
XQC,November 2020,52747,28723,16963,130,87,6844
XQC,October 2020,55767,30646,18398,145,79,6499
XQC,September 2020,51248,26428,16280,121,98,8321
XQC,August 2020,42114,22607,11859,128,68,7452
XQC,July 2020,49445,24166,17282,81,67,7849
XQC,June 2020,40009,19498,13914,71,52,6474
XQC,May 2020,41355,20331,14296,74,41,6613
XQC,April 2020,54762,31057,14173,90,51,9391
XQC,March 2020,36163,19349,10488,73,35,6218
XQC,February 2020,34598,17442,11469,48,34,5605
XQC,January 2020,35141,19266,9620,71,45,6139
XQC,December 2019,39021,20904,11441,68,51,6557
XQC,November 2019,33809,18076,9813,57,48,5815
XQC,October 2019,31797,16057,10337,56,53,5294
XQC,September 2019,33869,15726,12624,56,46,5417
XQC,August 2019,27531,18423,8246,57,53,752
XQC,July 2019,26162,16244,9118,73,43,684
XQC,June 2019,24114,15935,7334,72,48,725
XQC,May 2019,22559,15248,6497,75,54,685
XQC,April 2019,20366,13623,6032,67,35,609
XQC,March 2019,21711,14590,6351,76,46,648
XQC,February 2019,27107,18179,7888,127,68,845
XQC,January 2019,21279,10887,7583,83,54,2672
XQC,December 2018,19450,9854,7063,75,49,2409
XQC,November 2018,16993,9289,5344,69,44,2247
XQC,October 2018,16216,8944,4986,73,39,2174
XQC,September 2018,16600,8845,5920,93,56,1686
XQC,August 2018,15891,8897,4738,67,55,2134
XQC,July 2018,13023,8112,2825,63,52,1971
XQC,June 2018,8542,4999,2147,56,48,1292
XQC,May 2018,8871,4743,2689,62,34,1343
XQC,April 2018,9104,4955,2689,56,38,1366
XQC,March 2018,11867,7215,2731,85,58,1775
XQC,February 2018,7439,4277,1949,59,51,1103
XQC,January 2018,7475,4115,2137,69,48,1106
XQC,December 2017,6215,3280,1937,50,44,904
XQC,November 2017,4939,2764,1362,40,48,725
XQC,October 2017,4070,2164,1223,37,36,610
XQC,September 2017,3503,1591,1304,41,44,523
XQC,August 2017,1909,985,611,21,15,277
XQC,July 2017,1552,787,509,15,15,226
XQC,June 2017,956,422,386,5,8,135
XQC,May 2017,559,254,229,2,1,73
XQC,April 2017,515,244,205,0,0,66
XQC,March 2017,189,86,78,0,0,25
ELSPREEN,September 2022,11751,3934,6048,60,36,1673
ELSPREEN,August 2022,26772,11657,11124,79,53,3859
ELSPREEN,July 2022,12898,5066,5820,54,30,1928
ELSPREEN,June 2022,5933,2084,2915,33,18,883
ELSPREEN,May 2022,5920,2053,2903,43,27,894
ELSPREEN,April 2022,7627,2759,3701,45,24,1098
ELSPREEN,March 2022,8325,3002,4071,42,21,1189
ELSPREEN,February 2022,6998,2639,3303,33,10,1013
ELSPREEN,January 2022,8406,2870,4537,32,12,955
ELSPREEN,December 2021,2990,992,1647,15,5,331
ELSPREEN,November 2021,1995,753,962,6,2,272
ELSPREEN,October 2021,4183,1313,2581,11,5,273
ELSPREEN,September 2021,2109,1050,827,8,8,216
ELSPREEN,August 2021,2709,1540,846,10,5,308
ELSPREEN,July 2021,1199,686,387,3,2,121
KAICENAT,September 2022,43981,7817,31925,22,3,4214
KAICENAT,August 2022,64603,11147,43910,16,8,9522
KAICENAT,July 2022,29947,5554,20102,10,46,4235
KAICENAT,June 2022,7088,1227,4898,3,1,959
KAICENAT,May 2022,12164,2493,8075,7,2,1587
KAICENAT,April 2022,13286,2099,9548,8,0,1631
KAICENAT,March 2022,1278,225,890,1,0,162
KAICENAT,February 2022,8480,1820,5477,9,21,1153
KAICENAT,January 2022,13090,2449,8983,4,2,1652
KAICENAT,December 2021,9513,2252,5941,7,1,1312
KAICENAT,November 2021,6645,1416,4394,6,0,829
TARIK,September 2022,12998,6972,4034,15,29,1948
TARIK,August 2022,19786,10475,6369,22,25,2895
TARIK,July 2022,18120,10004,5454,19,25,2618
TARIK,June 2022,15340,7848,5161,22,27,2282
TARIK,May 2022,15482,8210,4993,15,30,2234
TARIK,April 2022,17543,9240,5800,17,36,2450
TARIK,March 2022,19336,9603,7087,16,27,2603
TARIK,February 2022,12756,5787,5428,15,24,1502
TARIK,January 2022,12456,4119,7056,17,17,1247
TARIK,December 2021,11692,4552,5814,60,14,1252
TARIK,November 2021,6094,1655,3962,8,7,462
IBAI,September 2022,18004,7723,3938,8,5,6330
IBAI,August 2022,33212,13980,7376,9,8,11839
IBAI,July 2022,38211,16140,8780,10,2,13279
IBAI,June 2022,120184,46881,29188,18,12,44085
IBAI,May 2022,41588,19663,6986,13,3,14923
IBAI,April 2022,41746,18937,8193,13,7,14596
IBAI,March 2022,44886,21671,6617,13,5,16580
IBAI,February 2022,42895,20039,7093,12,4,15747
IBAI,January 2022,47680,22203,8073,16,6,17382
IBAI,December 2021,64750,30163,11269,18,5,23295
IBAI,November 2021,43109,20721,6643,20,5,15720
IBAI,October 2021,41616,19441,7422,15,8,14730
IBAI,September 2021,46467,19677,10163,33,26,16568
IBAI,August 2021,69339,33560,10763,22,7,24987
IBAI,July 2021,28348,14845,2993,13,7,10490
IBAI,June 2021,43124,19477,10173,22,5,13447
IBAI,May 2021,33045,23533,5144,28,5,4335
IBAI,April 2021,27147,20118,3364,33,8,3624
IBAI,March 2021,28719,21518,3689,30,6,3476
IBAI,February 2021,29360,21944,3865,30,11,3510
IBAI,January 2021,34843,26104,4453,31,11,4244
IBAI,December 2020,47363,35585,6182,38,12,5546
IBAI,November 2020,44392,33092,6012,32,10,5246
IBAI,October 2020,37030,28254,4373,26,5,4372
IBAI,September 2020,29904,22253,4116,26,3,3506
IBAI,August 2020,18324,14032,2064,23,0,2205
IBAI,July 2020,11628,8695,1519,16,2,1396
IBAI,June 2020,16311,12036,2404,40,1,1830
IBAI,May 2020,5361,4028,659,4,1,669
ADINROSS,September 2022,22708,9453,4041,5,2,9207
ADINROSS,August 2022,35418,20679,6970,10,3,7756
ADINROSS,July 2022,34621,12275,8217,8,6,14115
ADINROSS,June 2022,45339,5588,8298,8,9,31436
