URL imagen Streamer,Nombres Streamers,AVG viewers,Time Streamed,All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
"
<a href=""/auronplay"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png"">
</a>
",AURONPLAY,"132,085","111.3
hours","602,038",14.7M,1,+350K,13.8M,263M
"
<a href=""/elspreen"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-300x300.jpeg"">
</a>
",ELSPREEN,"89,107","139
hours","200,921",12.4M,2,+576K,5.37M,32.9M
"
<a href=""/xqc"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg"">
</a>
",XQC,"58,057","265.2
hours","278,176",15.4M,3,+61.3K,11.1M,525M
"
<a href=""/kaicenat"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png"">
</a>
",KAICENAT,"52,631","238.3
hours","132,866",12.5M,4,+276K,2.02M,9.15M
"
<a href=""/lec"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e5768ef1-5b26-4d9b-b48f-9b96b5fb206a-profile_image-300x300.png"">
</a>
",LEC,"62,056","122.8
hours","400,312",7.62M,5,+55.0K,1.82M,149M
"
<a href=""/ibai"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png"">
</a>
",IBAI,"58,857","129
hours","3,356,074",7.59M,6,+215K,11.6M,359M
"
<a href=""/tarik"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png"">
</a>
",TARIK,"45,612","185.1
hours","187,886",8.44M,7,+112K,2.24M,93.3M
"
<a href=""/elmariana"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png"">
</a>
",ELMARIANA,"56,550","113.3
hours","128,442",6.41M,8,+413K,5.47M,33.3M
"
<a href=""/lck_korea"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7a701887-d5fa-4ee8-b277-766d37d3df4b-profile_image-300x300.png"">
</a>
",LCK_KOREA,"54,855","120.3
hours","623,617",6.60M,9,+22.3K,1.37M,408M
"
<a href=""/adinross"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-300x300.png"">
</a>
",ADINROSS,"59,247","94.4
hours","254,923",5.59M,10,+96.6K,6.46M,52.4M
"
<a href=""/valorant"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/8766585f-8c02-48b5-9574-228ec3e01109-profile_image-300x300.png"">
</a>
",VALORANT,"37,981","205.8
hours","344,755",7.81M,11,+265K,3.34M,129M
"
<a href=""/lcs"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c7c0eee2-5589-4386-9f0f-cf6264bf5440-profile_image-300x300.png"">
</a>
",LCS,"35,293","229.4
hours","400,429",8.10M,12,+64.7K,1.88M,167M
"
<a href=""/rocketleague"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/13186be9-68d9-4df7-a2ed-676b4076802e-profile_image-300x300.png"">
</a>
",ROCKETLEAGUE,"72,959","42.9
hours","259,144",3.13M,13,+35.9K,3.73M,312M
"
<a href=""/paulinholokobr"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png"">
</a>
",PAULINHOLOKOBR,"61,134","68.7
hours","149,938",4.20M,14,+240K,1.01M,86.0K
"
<a href=""/blastpremier"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1216f81a-2fdb-4df6-9eeb-972c191964fd-profile_image-300x300.png"">
</a>
",BLASTPREMIER,"50,770","103.2
hours","270,934",5.24M,15,+53.1K,1.37M,114M
"
<a href=""/trainwreckstv"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-300x300.png"">
</a>
",TRAINWRECKSTV,"30,606","231.7
hours","82,731",7.09M,16,+39.3K,2.07M,98.5M
"
<a href=""/fps_shaka"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png"">
</a>
",FPS_SHAKA,"23,412","319.3
hours","73,274",7.47M,17,+22.9K,939K,136M
"
<a href=""/gaules"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png"">
</a>
",GAULES,"12,232","716.1
hours","707,648",8.76M,18,+22.4K,3.62M,405M
"
<a href=""/eliasn97"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png"">
</a>
",ELIASN97,"32,929","190.5
hours","189,931",6.27M,19,+52.7K,1.18M,23.3M
"
<a href=""/esl_dota2"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/52ef5525-b19f-44f1-b342-2a7e33c45cc3-profile_image-300x300.jpeg"">
</a>
",ESL_DOTA2,"55,461","65
hours","263,970",3.60M,20,+26.0K,648K,93.1M
"
<a href=""/loud_coringa"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-300x300.png"">
</a>
",LOUD_CORINGA,"43,830","110.9
hours","307,450",4.86M,21,+75.9K,3.47M,50.8M
"
<a href=""/esl_csgo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg"">
</a>
",ESL_CSGO,"20,391","361.9
hours","562,080",7.38M,22,+40.7K,5.56M,770M
"
<a href=""/nix"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c8ff98b9-b235-47c1-8079-ad10f5099dc2-profile_image-300x300.png"">
</a>
",NIX,"45,161","94.8
hours","150,020",4.28M,23,+42.6K,316K,18.7M
"
<a href=""/roshtein"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ab4a35d8-8008-41b8-b0e5-db622e4c0a6f-profile_image-300x300.png"">
</a>
",ROSHTEIN,"23,384","283.3
hours","84,977",6.63M,24,+32.1K,1.07M,94.7M
"
<a href=""/lck"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/04b097ac-9a71-409e-b30e-570175b39caf-profile_image-300x300.png"">
</a>
",LCK,"53,260","56.2
hours","307,586",2.99M,25,+30.0K,1.51M,143M
"
<a href=""/juansguarnizo"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-300x300.png"">
</a>
",JUANSGUARNIZO,"35,676","139.7
hours","409,967",4.98M,26,+299K,8.99M,168M
"
<a href=""/hasanabi"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg"">
</a>
",HASANABI,"32,181","167
hours","226,974",5.37M,27,+32.1K,2.17M,114M
"
<a href=""/rubius"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg"">
</a>
",RUBIUS,"34,680","132.6
hours","372,079",4.60M,28,+190K,12.7M,273M
"
<a href=""/stylishnoob4"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png"">
</a>
",STYLISHNOOB4,"16,283","388.7
hours","112,628",6.33M,29,+31.0K,871K,129M
"
<a href=""/rtainjapan"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/rtainjapan-profile_image-056f5f8ac3ad9fae-300x300.png"">
 </a>
",RTAINJAPAN,"40,941","80.5
hours","182,595",3.30M,30,+18.2K,277K,17.9M
"
<a href=""/pgl_dota2"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e9f609aa-ae71-4d3b-806b-4fa875c9e5f6-profile_image-300x300.png"">
</a>
",PGL_DOTA2,"33,186","121.1
hours","161,982",4.02M,31,+31.1K,301K,38.0M
"
<a href=""/cblol"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/6527140f-6280-4b2a-988c-2e995489172b-profile_image-300x300.png"">
</a>
",CBLOL,"44,166","61.7
hours","281,184",2.73M,32,+20.2K,1.49M,233M
