Nombres Streamers,AVG viewers,Time Streamed (hours),All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
AURONPLAY,132085,111.3,602038,350000,1,350000,138000000,263000000
ELSPREEN,89107,139,200921,576000,2,576000,537000000,329000000
XQC,58057,265.2,278176,613000,3,613000,111000000,525000000
KAICENAT,52631,238.3,132866,276000,4,276000,202000000,915000000
LEC,62056,122.8,400312,550000,5,550000,182000000,149000000
IBAI,58857,129,3356074,215000,6,215000,116000000,359000000
TARIK,45612,185.1,187886,112000,7,112000,224000000,933000000
ELMARIANA,56550,113.3,128442,413000,8,413000,547000000,333000000
LCK_KOREA,54855,120.3,623617,223000,9,223000,137000000,408000000
ADINROSS,59247,94.4,254923,966000,10,966000,646000000,524000000
VALORANT,37981,205.8,344755,265000,11,265000,334000000,129000000
LCS,35293,229.4,400429,647000,12,647000,188000000,167000000
ROCKETLEAGUE,72959,42.9,259144,359000,13,359000,373000000,312000000
PAULINHOLOKOBR,61134,68.7,149938,240000,14,240000,101000000,860000
BLASTPREMIER,50770,103.2,270934,531000,15,531000,137000000,114000000
TRAINWRECKSTV,30606,231.7,82731,393000,16,393000,207000000,985000000
FPS_SHAKA,23412,319.3,73274,229000,17,229000,939000,136000000
GAULES,12232,716.1,707648,224000,18,224000,362000000,405000000
ELIASN97,32929,190.5,189931,527000,19,527000,118000000,233000000
ESL_DOTA2,55461,65,263970,260000,20,260000,648000,931000000
LOUD_CORINGA,43830,110.9,307450,759000,21,759000,347000000,508000000
ESL_CSGO,20391,361.9,562080,407000,22,407000,556000000,770000000
NIX,45161,94.8,150020,426000,23,426000,316000,187000000
ROSHTEIN,23384,283.3,84977,321000,24,321000,107000000,947000000
LCK,53260,56.2,307586,300000,25,300000,151000000,143000000
JUANSGUARNIZO,35676,139.7,409967,299000,26,299000,899000000,168000000
HASANABI,32181,167,226974,321000,27,321000,217000000,114000000
RUBIUS,34680,132.6,372079,190000,28,190000,127000000,273000000
STYLISHNOOB4,16283,388.7,112628,310000,29,310000,871000,129000000
RTAINJAPAN,40941,80.5,182595,182000,30,182000,277000,179000000
